ANSI,Year,corn,soyb,weat
1045,2006,75.0,,
1045,2007,51.0,,
1045,2009,75.0,,
1045,2011,93.6,,
1045,2012,110.0,,
1045,2013,142.1,,
1045,2014,116.2,,
1045,2015,123.8,,
1045,2016,145.0,,
1045,2017,144.0,,
1045,2019,107.5,,
1047,2000,48.0,12.0,40.0
1047,2001,94.0,,37.0
1047,2002,76.0,20.0,31.0
1047,2003,105.0,,29.0
1047,2004,129.0,32.0,
1047,2006,69.0,,
1047,2007,53.0,,
1047,2009,81.0,41.0,
1047,2010,103.0,,
1047,2011,73.8,19.3,
1047,2012,116.2,50.9,
1047,2013,113.8,50.3,
1047,2014,111.6,30.4,
1047,2016,118.8,32.4,
1047,2017,149.6,43.2,
1047,2018,137.3,42.0,
1047,2019,133.3,26.1,
1049,2000,80.0,25.0,45.0
1049,2001,117.0,38.0,0.0
1049,2002,84.0,19.0,47.0
1049,2003,100.0,39.0,30.0
1049,2004,136.0,39.0,
1049,2005,129.0,40.0,
1049,2006,58.0,20.0,
1049,2007,80.0,17.0,41.0
1049,2008,71.0,25.5,
1049,2009,117.0,38.0,
1049,2010,87.0,23.3,
1049,2011,129.7,30.0,
1049,2012,103.5,47.0,
1049,2013,140.5,47.9,
1049,2014,144.3,44.3,
1049,2015,151.0,45.6,
1049,2016,96.8,29.2,
1049,2017,163.4,46.1,
1049,2018,168.3,49.9,
1049,2019,130.9,30.6,
1051,2000,33.0,,
1051,2001,95.0,,37.0
1051,2002,92.0,,
1051,2003,117.0,,30.0
1051,2004,132.0,,
1051,2005,113.0,,
1051,2006,68.0,,
1051,2007,82.0,,
1051,2010,89.4,20.5,
1051,2011,99.5,30.5,
1051,2012,212.5,,
1051,2013,156.1,46.1,
1051,2015,197.6,,
1051,2016,151.8,20.3,
1051,2017,153.0,39.9,
1051,2018,170.5,42.8,
1051,2019,104.3,,
1053,2000,38.0,13.0,52.0
1053,2002,81.0,33.0,46.0
1053,2003,127.0,33.0,51.0
1053,2004,90.0,33.0,66.0
1053,2005,86.0,,
1053,2006,82.0,,44.0
1053,2007,115.0,36.0,53.0
1053,2009,85.0,42.5,
1053,2010,99.2,29.0,
1053,2011,45.7,35.6,
1053,2012,113.7,35.7,
1053,2013,96.8,40.2,
1053,2014,163.5,45.1,
1053,2015,124.6,35.9,
1053,2016,143.5,42.4,
1053,2017,140.0,46.2,
1053,2018,176.8,,
1055,2000,43.0,18.0,
1055,2002,87.0,25.0,
1055,2003,114.0,41.0,
1055,2004,104.0,41.0,
1055,2005,132.0,39.0,
1055,2006,64.0,19.0,
1055,2007,75.0,22.0,
1055,2009,85.0,44.5,
1055,2012,83.5,50.5,
1055,2013,132.1,,
1055,2014,121.0,40.6,
1055,2015,95.4,36.9,
1055,2016,92.2,25.6,
1055,2017,118.6,52.7,
1055,2019,151.7,30.4,
1057,2000,30.0,12.0,
1057,2001,107.0,,
1057,2002,81.0,22.0,
1057,2003,104.0,29.0,
1057,2004,101.0,37.0,
1057,2005,91.0,,
1057,2006,61.0,21.0,
1057,2007,67.0,21.0,
1057,2009,64.0,,
1057,2010,98.0,23.3,
1057,2011,100.8,27.0,
1057,2012,85.2,39.5,
1057,2013,103.5,34.0,
1057,2014,142.5,27.3,
1057,2016,85.0,28.7,
1057,2017,130.8,25.2,
1057,2018,124.3,26.4,
1057,2019,100.0,24.9,
1059,2002,69.0,,
1059,2003,114.0,,40.0
1059,2010,86.2,21.7,
1059,2012,83.4,,
1059,2013,87.9,42.5,
1059,2014,143.9,47.8,
1059,2016,85.7,39.3,
1059,2017,178.9,41.9,
1059,2018,100.0,37.5,
1061,2000,53.0,,58.0
1061,2002,96.0,26.0,33.0
1061,2003,108.0,33.0,33.0
1061,2004,115.0,36.0,34.0
1061,2005,108.0,41.0,44.0
1061,2006,88.0,,
1061,2007,83.0,,
1061,2009,80.0,36.5,
1061,2011,109.3,,
1061,2015,127.4,36.7,
1061,2016,129.4,33.8,
1061,2017,130.1,48.4,
1061,2018,109.5,,
1063,2000,25.0,,
1063,2002,50.0,,
1063,2003,84.0,,
1063,2004,85.0,,
1063,2011,31.9,,
1065,2000,57.0,16.0,
1065,2002,95.0,25.0,
1065,2003,107.0,,
1065,2007,64.0,,
1065,2011,85.6,28.2,
1065,2012,143.9,,
1065,2014,140.0,32.0,
1067,2001,88.0,,40.0
1067,2002,73.0,23.0,30.0
1067,2003,129.0,,37.0
1067,2004,106.0,30.0,41.0
1067,2005,112.0,,36.0
1067,2006,86.0,,32.0
1067,2007,60.0,24.0,46.0
1067,2009,61.0,,
1067,2010,70.0,,
1067,2011,108.6,,
1067,2012,96.5,,
1067,2013,109.7,26.7,
1067,2016,142.9,,
1067,2018,162.4,,
1067,2019,144.7,,
1069,2000,57.0,15.0,41.0
1069,2002,83.0,32.0,35.0
1069,2003,127.0,32.0,43.0
1069,2004,107.0,29.0,41.0
1069,2005,118.0,32.0,39.0
1069,2006,70.0,25.0,27.0
1069,2007,74.0,19.0,42.0
1069,2009,83.0,29.5,
1069,2010,96.9,9.0,
1069,2011,100.0,,
1069,2012,135.0,,
1069,2013,130.9,29.2,
1069,2014,148.3,36.9,
1069,2015,162.4,26.7,
1069,2018,100.0,28.4,
1069,2019,137.9,46.2,
1071,2000,80.0,26.0,
1071,2002,85.0,21.0,37.0
1071,2003,121.0,33.0,
1071,2004,130.0,34.0,
1071,2005,124.0,32.0,
1071,2006,57.0,19.0,
1071,2007,74.0,16.0,36.0
1071,2008,93.0,,
1071,2009,110.0,36.5,
1071,2010,108.0,32.5,
1071,2011,117.3,26.5,
1071,2012,109.8,42.0,
1071,2013,131.9,38.6,
1071,2014,149.9,42.9,
1071,2015,147.7,35.0,
1071,2016,80.5,21.5,
1071,2017,150.2,40.3,
1071,2018,155.2,39.0,
1071,2019,123.3,29.1,
1075,2000,54.0,,
1075,2002,92.0,24.0,
1075,2003,104.0,,
1075,2005,83.0,,
1075,2009,71.0,,
1075,2012,112.5,38.7,
1075,2013,124.7,,
1075,2014,150.0,,
1075,2016,78.6,26.2,
1077,2000,95.0,9.0,60.0
1077,2001,128.0,38.0,
1077,2002,99.0,25.0,41.0
1077,2003,145.0,37.0,39.0
1077,2004,135.0,31.0,44.0
1077,2005,112.0,28.0,62.0
1077,2006,84.0,24.0,71.0
1077,2007,92.0,18.0,37.0
1077,2008,99.0,26.5,
1077,2009,130.0,39.5,
1077,2010,126.5,24.5,
1077,2011,124.8,31.0,
1077,2012,75.7,46.4,
1077,2013,154.6,40.1,
1077,2014,184.4,37.5,
1077,2015,161.6,46.5,
1077,2016,106.5,29.9,
1077,2017,178.4,46.3,
1077,2018,165.3,35.4,
1077,2019,172.7,38.6,
1079,2000,99.0,13.0,60.0
1079,2001,138.0,35.0,52.0
1079,2002,115.0,27.0,53.0
1079,2003,153.0,37.0,47.0
1079,2004,151.0,36.0,
1079,2005,136.0,30.0,
1079,2006,77.0,21.0,
1079,2007,73.0,20.0,
1079,2008,98.0,,
1079,2009,112.0,44.0,
1079,2010,143.0,29.0,
1079,2011,132.5,42.0,
1079,2012,78.6,51.5,
1079,2013,172.0,47.8,
1079,2014,187.1,43.3,
1079,2015,140.3,42.6,
1079,2016,117.2,33.0,
1079,2017,204.0,54.3,
1079,2018,176.9,39.4,
1079,2019,171.8,39.3,
1083,2000,86.0,17.0,67.0
1083,2001,146.0,35.0,56.0
1083,2002,107.0,25.0,44.0
1083,2003,150.0,39.0,52.0
1083,2004,150.0,40.0,55.0
1083,2005,139.0,31.0,68.0
1083,2006,85.0,16.0,76.0
1083,2007,100.0,18.0,30.0
1083,2008,122.0,34.0,83.5
1083,2009,142.0,44.5,
1083,2010,144.5,26.0,
1083,2011,128.3,38.0,
1083,2012,71.9,48.4,
1083,2013,159.3,45.0,
1083,2014,181.7,37.8,
1083,2015,170.8,47.4,
1083,2016,112.9,31.8,
1083,2017,198.9,50.3,
1083,2018,183.2,43.3,
1083,2019,160.7,40.5,
1085,2000,24.0,,30.0
1085,2001,84.0,,37.0
1085,2002,77.0,,23.0
1087,2000,40.0,,28.0
1087,2002,79.0,,
1087,2003,121.0,,
1087,2009,107.0,38.0,
1087,2016,131.9,,
1087,2017,151.3,32.1,
1089,2000,88.0,20.0,63.0
1089,2001,118.0,34.0,
1089,2002,102.0,23.0,48.0
1089,2003,125.0,36.0,40.0
1089,2004,137.0,35.0,51.0
1089,2005,143.0,31.0,64.0
1089,2006,90.0,16.0,72.0
1089,2007,100.0,21.0,40.0
1089,2008,153.0,38.5,85.0
1089,2009,128.0,42.0,
1089,2010,113.9,22.6,
1089,2011,147.9,34.5,
1089,2012,110.6,46.3,
1089,2013,161.6,43.6,
1089,2014,169.0,42.7,
1089,2015,173.2,45.8,
1089,2016,150.7,37.6,
1089,2017,176.7,42.4,
1089,2018,159.7,38.2,
1089,2019,179.9,39.5,
1091,2000,59.0,,
1091,2002,93.0,,
1091,2003,65.0,,
1091,2013,121.1,42.1,
1091,2016,137.2,30.2,
1093,2000,55.0,13.0,
1093,2001,106.0,,50.0
1093,2004,119.0,38.0,
1093,2005,100.0,33.0,
1093,2006,72.0,14.0,
1093,2007,99.0,19.0,
1095,2000,70.0,20.0,40.0
1095,2001,103.0,33.0,
1095,2002,98.0,26.0,34.0
1095,2003,116.0,27.0,
1095,2004,113.0,30.0,
1095,2005,108.0,31.0,
1095,2006,59.0,18.0,
1095,2007,76.0,21.0,
1095,2009,77.0,38.5,
1095,2010,104.7,21.5,
1095,2011,131.7,30.0,
1095,2012,86.7,42.4,
1095,2013,120.9,43.3,
1095,2014,145.2,40.4,
1095,2017,155.7,43.2,
1095,2019,149.7,31.0,
1097,2000,68.0,,
1097,2001,103.0,,0.0
1097,2002,75.0,,
1097,2003,107.0,,
1097,2013,163.4,,
1099,2000,25.0,,
1099,2002,66.0,,40.0
1099,2003,120.0,,62.0
1099,2004,105.0,34.0,
1099,2007,72.0,,
1099,2009,75.0,37.5,
1099,2010,91.8,,
1099,2011,72.4,,
1099,2012,118.5,37.6,
1099,2013,125.6,42.1,
1099,2014,149.1,38.6,
1099,2015,166.5,30.9,
1099,2016,122.4,38.3,
1099,2017,171.5,,
1099,2018,157.6,,
1099,2019,124.1,,
1101,2001,99.0,,0.0
1101,2002,68.0,25.0,39.0
1101,2003,107.0,,
1101,2013,133.0,,
1103,2000,78.0,13.0,57.0
1103,2001,119.0,31.0,50.0
1103,2002,104.0,22.0,38.0
1103,2003,126.0,35.0,40.0
1103,2004,117.0,33.0,
1103,2005,128.0,33.0,
1103,2006,64.0,21.0,
1103,2007,71.0,19.0,
1103,2009,124.0,38.5,
1103,2010,100.6,23.6,
1103,2011,113.4,,
1103,2012,56.9,43.0,
1103,2013,130.1,45.9,
1103,2016,107.0,35.3,
1103,2017,182.7,47.0,
1103,2018,176.8,,
1103,2019,140.0,39.5,
1105,2002,49.0,26.0,
1105,2003,107.0,,
1105,2010,97.9,,
1105,2012,127.4,37.5,
1105,2013,129.8,35.5,
1105,2014,148.6,33.2,
1105,2015,127.7,27.7,
1105,2016,123.7,36.5,
1105,2017,122.3,39.9,
1105,2018,145.2,37.6,
1105,2019,110.2,,
1107,2002,63.0,,34.0
1107,2010,117.1,28.6,
1107,2011,108.3,,
1109,2000,38.0,,
1109,2001,98.0,,0.0
1109,2002,78.0,,33.0
1109,2003,119.0,,46.0
1109,2004,116.0,,
1109,2005,106.0,,
1109,2006,63.0,,
1109,2007,55.0,,
1109,2009,86.0,47.5,
1109,2010,76.0,29.0,
1109,2011,64.8,34.3,
1109,2012,105.9,51.6,
1109,2013,90.4,42.2,
1109,2014,101.9,49.8,
1109,2015,94.1,30.0,
1109,2016,123.9,40.1,
1109,2017,126.0,,
1111,2000,45.0,,
1111,2002,52.0,,
1111,2007,55.0,,
1111,2011,60.0,,
1111,2012,82.0,,
1111,2013,101.7,,
1111,2014,99.2,,
1111,2015,94.2,,
1111,2016,97.0,,
1111,2017,92.2,,
1111,2018,101.5,,
1111,2019,80.0,,
1113,2001,80.0,,44.0
1113,2002,63.0,,42.0
1113,2010,81.8,,
1113,2012,70.0,,
1113,2013,135.0,,
1117,2001,50.0,,
1117,2002,68.0,,
1117,2003,100.0,,
1117,2009,114.0,,
1117,2010,88.8,17.0,
1117,2011,101.8,26.0,
1117,2012,136.7,,
1117,2013,91.1,,
1117,2014,143.1,42.5,
1117,2016,93.6,39.7,
1119,2001,75.0,,
1119,2002,73.0,35.0,
1119,2003,76.0,,
1119,2005,56.0,,
1119,2007,54.0,,
1119,2014,165.0,43.9,
1121,2000,29.0,,50.0
1121,2002,105.0,21.0,44.0
1121,2003,111.0,35.0,36.0
1121,2004,134.0,37.0,
1121,2005,131.0,,
1121,2006,65.0,,
1121,2007,80.0,20.0,
1121,2009,121.0,39.5,
1121,2010,122.6,,
1121,2011,122.3,30.1,
1121,2012,130.2,32.6,
1121,2013,158.9,42.7,
1121,2014,144.4,42.6,
1121,2015,133.3,40.3,
1121,2017,139.2,41.9,
1121,2018,139.2,38.2,
1123,2007,79.0,,
1123,2015,193.9,,
1123,2016,173.0,,
1125,2000,35.0,13.0,58.0
1125,2001,117.0,,58.0
1125,2002,81.0,,38.0
1125,2003,120.0,,40.0
1125,2004,122.0,44.0,
1125,2005,108.0,,
1125,2006,75.0,,
1125,2007,69.0,29.0,
1125,2009,99.0,40.0,
1125,2010,119.0,28.1,
1125,2011,99.4,30.0,
1125,2012,103.1,48.6,
1125,2013,147.2,44.7,
1125,2014,137.3,42.3,
1125,2015,129.0,44.2,
1125,2016,132.2,38.5,
1125,2017,183.0,51.3,
1125,2018,124.7,46.3,
1125,2019,161.7,31.8,
1127,2013,136.4,33.8,
1127,2014,140.0,38.4,
1127,2015,130.6,,
1127,2018,123.2,38.5,
1127,2019,111.4,32.4,
1129,2000,23.0,,45.0
1129,2001,85.0,,
1129,2002,39.0,,40.0
1129,2003,117.0,,
1129,2004,99.0,,
1129,2005,99.0,,
1129,2006,66.0,,
1129,2007,73.0,,
1129,2009,83.0,,
1129,2010,121.4,,
1129,2011,43.9,,
1129,2013,95.0,,
1131,2000,53.0,,
1131,2002,53.0,,
1131,2003,95.0,,
1131,2012,112.0,,
1131,2014,95.0,,
4003,2000,197.5,,
4003,2001,208.7,,
4003,2002,187.7,,
4003,2003,192.3,,98.6
4003,2004,176.4,,90.6
4003,2005,197.2,,110.0
4003,2006,176.2,,102.5
4003,2007,184.2,,
4003,2008,173.0,,
4009,2000,201.7,,
4009,2001,212.0,,
4009,2002,165.6,,
4009,2003,195.0,,98.5
4009,2004,195.0,,
4009,2005,187.5,,
4012,2002,181.1,,92.7
4012,2004,0.0,,88.0
4012,2005,0.0,,92.0
4013,2000,176.7,,98.85
4013,2001,195.0,,94.1
4013,2002,180.0,,94.5
4013,2003,186.7,,98.65
4013,2004,183.3,,93.05000000000001
4013,2005,188.9,,96.6
4013,2006,180.0,,93.0
4013,2007,210.0,,99.5
4013,2008,163.0,,
4021,2000,180.0,,85.3
4021,2001,200.0,,
4021,2002,176.0,,98.7
4021,2003,200.0,,100.0
4021,2004,195.0,,99.3
4021,2005,192.3,,100.0
4021,2006,153.1,,96.5
4021,2007,204.5,,97.6
4021,2008,122.0,,
4027,2000,200.0,,100.94999999999999
4027,2001,209.7,,98.55
4027,2002,194.2,,92.35
4027,2003,195.0,,102.7
4027,2004,187.5,,100.0
5001,2002,160.0,42.0,60.0
5001,2003,180.0,45.0,64.0
5001,2009,160.0,45.0,54.0
5001,2010,171.9,43.2,63.5
5001,2011,160.9,44.3,66.1
5001,2012,188.6,50.7,
5001,2013,199.0,51.8,76.4
5001,2014,188.9,55.1,73.2
5001,2015,189.1,53.9,62.0
5001,2016,182.0,54.3,
5001,2017,192.3,53.7,
5001,2018,187.0,59.8,
5001,2019,192.8,58.0,
5003,2000,141.0,24.0,47.0
5003,2003,140.0,37.0,50.0
5003,2004,128.0,36.0,55.0
5003,2005,165.0,37.0,
5003,2006,152.0,27.0,58.0
5003,2009,145.0,33.5,52.0
5003,2010,169.0,43.3,56.0
5003,2012,187.2,50.2,54.6
5003,2013,193.2,55.1,64.1
5003,2014,193.4,56.2,63.0
5003,2015,191.2,56.1,52.9
5003,2016,189.0,58.2,38.3
5003,2017,196.2,56.8,63.3
5003,2018,194.5,54.9,
5003,2019,165.7,50.6,
5017,2001,156.0,32.0,46.0
5017,2002,120.0,33.0,38.0
5017,2003,134.0,39.0,46.0
5017,2004,133.0,39.0,48.0
5017,2005,150.0,39.0,
5017,2006,141.0,31.0,
5017,2007,166.0,38.0,58.0
5017,2008,156.0,34.0,55.5
5017,2009,137.0,35.5,40.0
5017,2010,160.8,39.9,54.2
5017,2011,156.7,41.8,64.1
5017,2012,188.6,51.7,57.8
5017,2013,184.0,50.9,54.6
5017,2014,189.3,54.4,
5017,2015,187.7,53.0,
5017,2016,184.4,52.7,
5017,2017,182.4,51.2,
5017,2018,181.4,52.0,
5017,2019,176.1,54.1,
5021,2000,130.0,31.0,56.0
5021,2001,148.0,33.0,49.0
5021,2002,145.0,36.0,46.0
5021,2003,156.0,40.0,50.0
5021,2004,164.0,40.0,51.0
5021,2005,149.0,37.0,45.0
5021,2006,173.0,37.0,57.0
5021,2007,176.0,35.0,35.0
5021,2008,165.0,40.5,43.0
5021,2009,163.0,40.5,42.0
5021,2010,156.0,37.9,42.8
5021,2011,144.5,40.3,
5021,2012,182.7,48.6,38.8
5021,2013,191.9,48.7,
5021,2014,194.6,46.1,
5021,2015,180.8,49.9,32.2
5021,2016,172.9,46.8,
5021,2017,203.4,54.8,
5021,2018,189.7,50.8,51.2
5021,2019,178.0,48.0,58.2
5029,2000,120.0,17.0,46.0
5029,2001,148.0,30.0,50.0
5029,2002,138.0,28.0,43.0
5029,2003,155.0,34.0,43.0
5029,2004,142.0,34.0,45.0
5029,2005,134.0,30.0,40.0
5029,2006,127.0,26.0,53.0
5029,2007,152.0,26.0,32.0
5029,2008,142.0,31.5,40.0
5029,2009,150.0,36.0,40.0
5029,2010,136.8,26.4,45.0
5029,2011,93.4,27.9,48.0
5029,2012,128.7,29.3,53.7
5031,2000,130.0,29.0,56.0
5031,2001,130.0,33.0,47.0
5031,2002,123.0,36.0,43.0
5031,2003,154.0,40.0,45.0
5031,2004,160.0,40.0,46.0
5031,2005,136.0,35.0,45.0
5031,2006,145.0,39.0,51.0
5031,2007,184.0,39.0,43.0
5031,2008,170.0,40.5,53.5
5031,2009,168.0,38.0,41.0
5031,2010,169.6,38.7,47.8
5031,2011,147.3,40.4,59.8
5031,2012,191.1,49.4,53.2
5031,2013,189.3,47.0,59.2
5031,2014,183.8,52.0,65.3
5031,2015,179.9,52.0,53.8
5031,2016,184.4,48.8,52.5
5031,2017,185.4,53.1,
5031,2018,196.4,50.0,58.2
5031,2019,191.7,46.3,
5033,2000,102.0,19.0,44.0
5033,2002,110.0,28.0,42.0
5033,2003,105.0,28.0,46.0
5033,2004,135.0,34.0,51.0
5033,2005,120.0,30.0,52.0
5033,2006,124.0,28.0,63.0
5033,2010,105.1,23.3,
5033,2011,59.2,,32.5
5033,2014,95.7,39.2,72.0
5033,2016,110.0,,
5035,2000,138.0,19.0,57.0
5035,2001,160.0,29.0,56.0
5035,2002,135.0,31.0,44.0
5035,2003,128.0,38.0,50.0
5035,2004,120.0,38.0,48.0
5035,2005,115.0,31.0,57.0
5035,2007,165.0,31.0,36.0
5035,2008,132.0,34.0,60.5
5035,2009,167.0,40.0,50.0
5035,2010,169.0,34.3,58.8
5035,2011,139.1,36.3,64.7
5035,2012,174.2,39.7,
5035,2014,183.0,46.8,65.7
5035,2015,173.0,43.7,64.2
5035,2016,142.9,43.8,61.2
5035,2017,178.3,52.7,
5035,2018,175.2,,
5035,2019,165.1,46.1,
5037,2003,130.0,41.0,50.0
5037,2006,100.0,39.0,65.0
5037,2009,153.0,35.5,47.0
5037,2010,156.0,36.5,54.3
5037,2011,155.9,40.6,63.3
5037,2013,201.6,47.1,66.3
5037,2014,173.8,48.2,64.8
5037,2015,198.9,48.2,65.4
5037,2018,186.2,53.3,
5041,2002,158.0,34.0,41.0
5041,2003,156.0,38.0,49.0
5041,2004,155.0,40.0,51.0
5041,2005,175.0,40.0,47.0
5041,2006,183.0,36.0,54.0
5041,2007,187.0,43.0,54.0
5041,2008,169.0,42.5,68.5
5041,2009,170.0,43.0,39.0
5041,2010,181.0,47.6,58.2
5041,2011,176.2,46.2,54.0
5041,2012,201.2,53.6,52.9
5041,2013,193.4,49.5,53.8
5041,2014,204.0,61.7,61.4
5041,2015,194.6,61.1,50.0
5041,2016,186.0,55.7,
5041,2017,193.8,56.7,
5041,2018,192.3,59.5,50.5
5041,2019,181.7,59.8,
5043,2003,139.0,34.0,46.0
5043,2004,155.0,38.0,48.0
5043,2007,173.0,39.0,47.0
5043,2008,161.0,39.5,60.5
5043,2009,174.0,37.0,40.0
5043,2010,171.1,44.9,
5043,2012,192.8,46.5,61.8
5043,2013,189.1,48.9,62.5
5043,2014,205.8,58.5,
5043,2015,188.9,57.0,
5043,2016,188.1,53.5,
5043,2017,189.2,54.5,
5043,2018,186.1,56.9,
5043,2019,186.8,57.5,
5045,2000,121.0,,57.0
5045,2006,128.0,33.0,
5045,2007,133.0,22.0,
5045,2008,135.0,32.0,34.0
5045,2009,125.0,,
5045,2012,72.3,,
5047,2007,95.0,,
5047,2014,171.3,43.1,
5055,2000,125.0,28.0,56.0
5055,2001,140.0,31.0,49.0
5055,2002,125.0,35.0,49.0
5055,2003,139.0,38.0,50.0
5055,2004,147.0,39.0,49.0
5055,2005,124.0,33.0,45.0
5055,2006,145.0,37.0,60.0
5055,2007,172.0,31.0,24.0
5055,2008,153.0,34.5,47.0
5055,2009,149.0,35.0,35.0
5055,2010,159.0,31.9,
5055,2011,110.3,35.2,50.8
5055,2012,144.6,43.7,45.6
5055,2013,176.0,36.2,58.2
5055,2014,182.5,41.2,55.3
5055,2015,175.2,45.2,44.6
5055,2016,168.8,43.7,
5055,2017,186.3,51.0,
5055,2018,176.3,41.5,
5055,2019,182.1,45.8,
5063,2000,128.0,17.0,49.0
5063,2001,136.0,27.0,49.0
